Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
1,1704802130979,09/01/2024 12:08:50,1704802130811,2,09/01/2024 14:08:50,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1704802131681,09/01/2024 12:08:51,1704802131534,2,09/01/2024 14:08:51,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_initialValue,0,,,86,,0,1,0,,,,,,instructions_Jewish,
3,1704802131808,09/01/2024 12:08:51,1704802131538,2,09/01/2024 14:08:51,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,14,,0,1,0,,,,,,instructions_Jewish,
4,1704802152777,09/01/2024 12:09:12,1704802152627,2,09/01/2024 14:09:12,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_endValue,21094,,,86,,0,1,0,,,,,,instructions_Jewish,
5,1704802152887,09/01/2024 12:09:12,1704802152629,2,09/01/2024 14:09:12,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_endValue,21094,,,14,,0,1,0,,,,,,instructions_Jewish,
6,1704802152887,09/01/2024 12:09:12,1704802152629,2,09/01/2024 14:09:12,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,21094,,,,,0,1,0,,,,,,instructions_Jewish,
7,1704802157382,09/01/2024 12:09:17,1704802157233,2,09/01/2024 14:09:17,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,4617,,,60,,0,1,0,,,,,,instructions_Jewish,
8,1704802171760,09/01/2024 12:09:31,1704802171619,2,09/01/2024 14:09:31,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,18980.000000000007,,,50,,0,1,0,,,,,,instructions_Jewish,
9,1704802171871,09/01/2024 12:09:31,1704802171620,2,09/01/2024 14:09:31,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,18980.000000000007,,,,,0,1,0,,,,,,instructions_Jewish,
10,1704802176746,09/01/2024 12:09:36,1704802176600,2,09/01/2024 14:09:36,143127,8,task-ib3a,,34039220,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,4971.999999999993,,,,,0,1,0,,,,,,instructions_Jewish,
