Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
1,1704802793846,09/01/2024 12:19:53,1704802793640,2,09/01/2024 14:19:53,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1704802903028,09/01/2024 12:21:43,1704802902574,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,age,25
3,1704802903165,09/01/2024 12:21:43,1704802902575,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,age-quantised,9
4,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender,גבר
5,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender-quantised,1
6,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender-text,
7,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-1,ישראלי/ת
8,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-4,יהודי/ת
9,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-text,
10,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,religiosity,5
11,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,religiosity-quantised,5
12,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,education,חלק מתואר ראשון באוניברסיטה
13,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,education-quantised,5
14,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,children,0
15,1704802903165,09/01/2024 12:21:43,1704802902576,2,09/01/2024 14:21:42,143127,8,questionnaire-jj6n,,34039789,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,Demographics_ex1,6,Jewish_First,accepted,No,scale_of_SES,7
