Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
1,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_initialValue,0,,,86,,0,1,0,,,,,,instructions_Arab,
3,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,14,,0,1,0,,,,,,instructions_Arab,
4,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_endValue,1359.2,,,86,,0,1,0,,,,,,instructions_Arab,
5,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_endValue,1359.2,,,14,,0,1,0,,,,,,instructions_Arab,
6,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1359.2,,,,,0,1,0,,,,,,instructions_Arab,
7,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,1082.2,,,64,,0,1,0,,,,,,instructions_Arab,
8,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,1743.4,,,64,,0,1,0,,,,,,instructions_Arab,
9,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,1743.4,,,,,0,1,0,,,,,,instructions_Arab,
10,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,857.6999999,,,,,0,1,0,,,,,,instructions_Arab,
11,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone3,response_slider_firstInteraction,1215.8,,,84,,0,1,0,,,,,1,task_Arab,CFD_M-220-N.png
12,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone3,response_slider_endValue,1898.9,,,84,,0,1,0,,,,,1,task_Arab,CFD_M-220-N.png
13,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone4,continue_button,1898.9,,,,,0,1,0,,,,,1,task_Arab,CFD_M-220-N.png
14,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,31,2,1,Screen 1,Zone3,response_slider_firstInteraction,1732.1,,,70,,0,1,0,,,,,1,task_Arab,CFD_M-242-N.png
15,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,31,2,1,Screen 1,Zone3,response_slider_endValue,2465.3,,,70,,0,1,0,,,,,1,task_Arab,CFD_M-242-N.png
16,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,31,2,1,Screen 1,Zone4,continue_button,2465.3,,,,,0,1,0,,,,,1,task_Arab,CFD_M-242-N.png
17,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,48,3,1,Screen 1,Zone3,response_slider_firstInteraction,1099.3,,,37,,0,1,0,,,,,1,task_Arab,IFD_M-035-N.png
18,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,48,3,1,Screen 1,Zone3,response_slider_endValue,1918.6,,,37,,0,1,0,,,,,1,task_Arab,IFD_M-035-N.png
19,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,48,3,1,Screen 1,Zone4,continue_button,1918.6,,,,,0,1,0,,,,,1,task_Arab,IFD_M-035-N.png
20,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,18,4,1,Screen 1,Zone3,response_slider_firstInteraction,1382,,,57,,0,1,0,,,,,1,task_Arab,CFD_M-224-N.png
21,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,18,4,1,Screen 1,Zone3,response_slider_endValue,1993.3,,,57,,0,1,0,,,,,1,task_Arab,CFD_M-224-N.png
22,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,18,4,1,Screen 1,Zone4,continue_button,1993.3,,,,,0,1,0,,,,,1,task_Arab,CFD_M-224-N.png
23,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,60,5,1,Screen 1,Zone3,response_slider_firstInteraction,1032.6,,,66,,0,1,0,,,,,1,task_Arab,IFD_M-069-N.png
24,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,60,5,1,Screen 1,Zone3,response_slider_endValue,1617.1,,,66,,0,1,0,,,,,1,task_Arab,IFD_M-069-N.png
25,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,60,5,1,Screen 1,Zone4,continue_button,1617.1,,,,,0,1,0,,,,,1,task_Arab,IFD_M-069-N.png
26,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,3,6,1,Screen 1,Zone3,response_slider_firstInteraction,1848.4,,,50,,0,1,0,,,,,1,task_Arab,CFD_M-201-N.png
27,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,3,6,1,Screen 1,Zone3,response_slider_endValue,2337,,,50,,0,1,0,,,,,1,task_Arab,CFD_M-201-N.png
28,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,3,6,1,Screen 1,Zone4,continue_button,2337,,,,,0,1,0,,,,,1,task_Arab,CFD_M-201-N.png
