Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
1,1.70912E+12,28/02/2024 12:52,1.70912E+12,2,28/02/2024 14:52,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,BEGIN QUESTIONNAIRE,
3,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,age,19
4,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,age-quantised,3
5,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,gender,גבר
6,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-quantised,1
7,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-text,
8,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-1,ישראלי/ת
9,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-4,יהודי/ת
10,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-8,חרד/ית
