Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1709118421558,28/02/2024 11:07:01,1709118423200,2,28/02/2024 13:07:03,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1709118423236,28/02/2024 11:07:03,1709118425205,2,28/02/2024 13:07:05,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,1510.0999999046326,,,,,0,1,0,,,,,,instructions_Jewish
3,1709118426609,28/02/2024 11:07:06,1709118428584,2,28/02/2024 13:07:08,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,3366.3999999999996,,,0,,0,1,0,,,,,,instructions_Jewish
4,1709118427260,28/02/2024 11:07:07,1709118429241,2,28/02/2024 13:07:09,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,4030.2000000476837,,,3,,0,1,0,,,,,,instructions_Jewish
5,1709118427374,28/02/2024 11:07:07,1709118429242,2,28/02/2024 13:07:09,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,4030.2000000476837,,,,,0,1,0,,,,,,instructions_Jewish
6,1709118427374,28/02/2024 11:07:07,1709118429257,2,28/02/2024 13:07:09,143127,17,task-sfst,,35582050,BLIND,10513794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,,,END TASK,,,,,6057,,,,,0,1,0,,,,,,
1,1709126777333,28/02/2024 13:26:17,1709126776256,2,28/02/2024 15:26:16,143127,17,task-sfst,,35587537,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1709126781092,28/02/2024 13:26:21,1709126780026,2,28/02/2024 15:26:20,143127,17,task-sfst,,35587537,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,3658.5,,,,,0,1,0,,,,,,instructions_Jewish
3,1709126786783,28/02/2024 13:26:26,1709126785734,2,28/02/2024 15:26:25,143127,17,task-sfst,,35587537,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,5683.500000000001,,,2,,0,1,0,,,,,,instructions_Jewish
4,1709126788722,28/02/2024 13:26:28,1709126787676,2,28/02/2024 15:26:27,143127,17,task-sfst,,35587537,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,2,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,7644.10000038147,,,0,,0,1,0,,,,,,instructions_Jewish
