Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
1,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,age,28
3,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,age-quantised,12
4,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,gender,????
5,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,gender-quantised,2
6,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,gender-text,
7,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,ethnic-1,??????/?
8,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,ethnic-4,?????/?
9,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,ethnic-text,
10,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,religiosity,7
11,1.70557E+12,18/01/2024 9:18,1.70557E+12,2,18/01/2024 11:18,143127,8,questionnaire-jj6n,,34292504,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Demographics_ex1,6,Arab_First,accepted,No,religiosity-quantised,7
