Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
1,1704890122250,10/01/2024 12:35:22,1704890124749,2,10/01/2024 14:35:24,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1704890122604,10/01/2024 12:35:22,1704890125144,2,10/01/2024 14:35:25,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_initialValue,0,,,86,,0,1,0,,,,,,instructions_Arab,
3,1704890122795,10/01/2024 12:35:22,1704890125150,2,10/01/2024 14:35:25,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,14,,0,1,0,,,,,,instructions_Arab,
4,1704890126338,10/01/2024 12:35:26,1704890128605,2,10/01/2024 14:35:28,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_endValue,3462.2000000029802,,,86,,0,1,0,,,,,,instructions_Arab,
5,1704890126470,10/01/2024 12:35:26,1704890128606,2,10/01/2024 14:35:28,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_endValue,3462.2000000029802,,,14,,0,1,0,,,,,,instructions_Arab,
6,1704890126470,10/01/2024 12:35:26,1704890128606,2,10/01/2024 14:35:28,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3462.2000000029802,,,,,0,1,0,,,,,,instructions_Arab,
7,1704890129952,10/01/2024 12:35:29,1704890132507,2,10/01/2024 14:35:32,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,3899.5999999999995,,,18,,0,1,0,,,,,,instructions_Arab,
8,1704890132304,10/01/2024 12:35:32,1704890134858,2,10/01/2024 14:35:34,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,6243.19999999553,,,38,,0,1,0,,,,,,instructions_Arab,
9,1704890132421,10/01/2024 12:35:32,1704890134860,2,10/01/2024 14:35:34,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,6243.19999999553,,,,,0,1,0,,,,,,instructions_Arab,
10,1704890137850,10/01/2024 12:35:37,1704890140122,2,10/01/2024 14:35:40,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,5256.5,,,,,0,1,0,,,,,,instructions_Arab,
11,1704890140372,10/01/2024 12:35:40,1704890142915,2,10/01/2024 14:35:42,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone3,response_slider_firstInteraction,2783.4000000000015,,,47,,0,1,0,,,,,1,task_Arab,CFD_M-206-N.png
12,1704890142950,10/01/2024 12:35:42,1704890145508,2,10/01/2024 14:35:45,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone3,response_slider_endValue,5375.39999999851,,,37,,0,1,0,,,,,1,task_Arab,CFD_M-206-N.png
13,1704890143178,10/01/2024 12:35:43,1704890145509,2,10/01/2024 14:35:45,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone4,continue_button,5375.39999999851,,,,,0,1,0,,,,,1,task_Arab,CFD_M-206-N.png
14,1704890143844,10/01/2024 12:35:43,1704890146392,2,10/01/2024 14:35:46,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,77,2,1,Screen 1,Zone3,response_slider_firstInteraction,883.2000000000007,,,47,,0,1,0,,,,,1,task_Arab,IFD_M-135-N.png
15,1704890145236,10/01/2024 12:35:45,1704890147780,2,10/01/2024 14:35:47,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,77,2,1,Screen 1,Zone3,response_slider_endValue,2262,,,53,,0,1,0,,,,,1,task_Arab,IFD_M-135-N.png
