Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
1,1704814194642,09/01/2024 15:29:54,1704814194894,2,09/01/2024 17:29:54,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1704814195313,09/01/2024 15:29:55,1704814195526,2,09/01/2024 17:29:55,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_initialValue,0,,,86,,0,1,0,,,,,,instructions_Jewish,
3,1704814195426,09/01/2024 15:29:55,1704814195529,2,09/01/2024 17:29:55,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,14,,0,1,0,,,,,,instructions_Jewish,
4,1704814212831,09/01/2024 15:30:12,1704814213122,2,09/01/2024 17:30:13,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_slider_endValue,17597.19999998808,,,86,,0,1,0,,,,,,instructions_Jewish,
5,1704814212959,09/01/2024 15:30:12,1704814213123,2,09/01/2024 17:30:13,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone3,response_slider_endValue,17597.19999998808,,,14,,0,1,0,,,,,,instructions_Jewish,
6,1704814212959,09/01/2024 15:30:12,1704814213124,2,09/01/2024 17:30:13,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,17597.19999998808,,,,,0,1,0,,,,,,instructions_Jewish,
7,1704814217356,09/01/2024 15:30:17,1704814217650,2,09/01/2024 17:30:17,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,4532.9000000000015,,,3,,0,1,0,,,,,,instructions_Jewish,
8,1704814220781,09/01/2024 15:30:20,1704814221063,2,09/01/2024 17:30:21,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,7933.300000011921,,,38,,0,1,0,,,,,,instructions_Jewish,
9,1704814220911,09/01/2024 15:30:20,1704814221065,2,09/01/2024 17:30:21,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,7933.300000011921,,,,,0,1,0,,,,,,instructions_Jewish,
10,1704814223752,09/01/2024 15:30:23,1704814224038,2,09/01/2024 17:30:24,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,2969.5,,,,,0,1,0,,,,,,instructions_Jewish,
