"","sID","nFingers","trial","block","acc","rt","group","prev_acc","mean_rt","sd_rt","vib_strength"
"1",1,3,200,2,1,1098,"0",1,1123.36,130.684059216621,1
"2",1,4,204,2,1,1122,"0",1,1167.375,232.9035651341,1
"3",1,3,205,2,1,1122,"0",1,1123.36,130.684059216621,1
"4",1,4,206,2,1,898,"0",1,1167.375,232.9035651341,1
"5",1,3,207,2,1,1031,"0",1,1123.36,130.684059216621,1
"6",1,1,208,2,1,1321,"0",1,1206.17647058824,124.992117398517,0.3
"7",1,5,211,2,1,1032,"0",1,1061.42857142857,112.46928762707,1
"8",1,1,212,2,1,1201,"0",1,1206.17647058824,124.992117398517,1
"9",1,5,213,2,1,1093,"0",1,1061.42857142857,112.46928762707,1
"10",1,3,214,2,1,1067,"0",1,1123.36,130.684059216621,0.3
"11",1,2,217,2,1,1296,"0",1,1206.5625,202.733640934766,0.3
"12",1,5,220,2,1,846,"0",1,1061.42857142857,112.46928762707,1
"13",1,3,221,2,1,1058,"0",1,1123.36,130.684059216621,0.3
"14",1,5,222,2,1,1160,"0",1,1061.42857142857,112.46928762707,1
"15",1,3,223,2,1,1301,"0",1,1123.36,130.684059216621,0.3
"16",1,5,224,2,1,1085,"0",1,1061.42857142857,112.46928762707,1
"17",1,2,225,2,1,1182,"0",1,1206.5625,202.733640934766,1
"18",1,3,226,2,1,1198,"0",1,1123.36,130.684059216621,1
"19",1,3,231,2,1,960,"0",1,1123.36,130.684059216621,1
"20",1,4,232,2,1,1196,"0",1,1167.375,232.9035651341,0.3
"21",1,4,233,2,1,1279,"0",1,1167.375,232.9035651341,0.3
"22",1,1,234,2,1,1145,"0",1,1206.17647058824,124.992117398517,1
"23",1,4,235,2,1,1295,"0",1,1167.375,232.9035651341,1
"24",1,2,236,2,1,1134,"0",1,1206.5625,202.733640934766,0.3
"25",1,4,237,2,1,1199,"0",1,1167.375,232.9035651341,1
"26",1,3,238,2,1,1176,"0",1,1123.36,130.684059216621,0.3
"27",1,2,239,2,1,1193,"0",1,1206.5625,202.733640934766,1
"28",1,3,240,2,1,1122,"0",1,1123.36,130.684059216621,1
"29",1,4,241,2,1,1111,"0",1,1167.375,232.9035651341,0.3
"30",1,4,246,2,1,998,"0",1,1167.375,232.9035651341,1
"31",1,2,249,2,1,1144,"0",1,1206.5625,202.733640934766,1
"32",1,1,250,2,1,1314,"0",1,1206.17647058824,124.992117398517,0.3
"33",1,1,251,2,1,1137,"0",1,1206.17647058824,124.992117398517,1
"34",1,4,260,2,1,1075,"0",1,1167.375,232.9035651341,1
"35",1,2,269,2,1,1229,"0",1,1206.5625,202.733640934766,0.3
"36",1,4,270,2,1,1074,"0",1,1167.375,232.9035651341,1
"37",1,3,280,2,1,1177,"0",1,1123.36,130.684059216621,0.3
"38",1,2,281,2,1,1083,"0",1,1206.5625,202.733640934766,0.3
"39",1,1,282,2,1,1161,"0",1,1206.17647058824,124.992117398517,0.3
