Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-bgon,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Mode
1,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,ExpCond:MKD,,0,1,0,,,,,,,
3,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,fixation,fixation,4212.708,,,,,0,1,0,,,,,,t1,training
4,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone1,timelimit_screen,749.6,,,,,0,1,0,,,1,,,t1,training
5,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,fixation,fixation,2198.3,,,,,0,1,0,,,,,,t1,training
6,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,IFD_M-420-N.png,,0,1,0,,,,,,,
7,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,4,Screen 4,advancementZone,timelimit_screen,599.4,,,,,0,1,0,,,1,,,t1,training
8,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,5,Screen 5,fixation,fixation,699.2,,,,,0,1,0,,,,,,t1,training
9,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,IFD_M-420-N.png,,0,1,0,,,,,,,
10,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,Same,,,,,,,,Same,,0,1,0,,,,,,,
11,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,6,Screen 6,script,force_advance,849.2,,,,,0,1,0,,,,,,t1,training
12,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,תאמר,,0,1,0,,,,,,,
13,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,HIGH,,0,1,0,,,,,,,
14,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,1,1,7,Screen 7,script,force_advance,16.7,,,,,0,1,0,,,,,,t1,training
15,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,timelimit_screen,2497.9,,,,,0,1,0,,,1,,,feedback,training
16,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,fixation,fixation,4196.3,,,,,0,1,0,,,,,,t1,training
17,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,2,Screen 2,Zone1,timelimit_screen,749.7,,,,,0,1,0,,,1,,,t1,training
18,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,3,Screen 3,fixation,fixation,2197.7,,,,,0,1,0,,,,,,t1,training
19,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,IFD_M-111-N.png,,0,1,0,,,,,,,
20,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,4,Screen 4,advancementZone,timelimit_screen,599.3,,,,,0,1,0,,,1,,,t1,training
21,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,5,Screen 5,fixation,fixation,699.5,,,,,0,1,0,,,,,,t1,training
22,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,IFD_M-042-N.png,,0,1,0,,,,,,,
23,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,Diff,,,,,,,,Diff,,0,1,0,,,,,,,
24,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,6,Screen 6,script,force_advance,566.2,,,,,0,1,0,,,,,,t1,training
25,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,שמעון,,0,1,0,,,,,,,
26,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,,,,,,,,,,,LOW,,0,1,0,,,,,,,
27,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,3,2,7,Screen 7,script,force_advance,0.600000024,,,,,0,1,0,,,,,,t1,training
28,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,4,2,1,Screen 1,advancementZone,timelimit_screen,2498,,,,,0,1,0,,,1,,,feedback,training
29,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,advancementZone,continue_button,2557.8,,,,,0,1,0,,,,,,Instr,
30,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,6,3,1,Screen 1,fixation,fixation,4196.3,,,,,0,1,0,,,,,,t1,training
31,1.71456E+12,01/05/2024 11:30,1.71456E+12,3,01/05/2024 14:30,142922,14,,,37378988,,11022729,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x911,,,,TrainAndMain_ex2,12,,,Spreadsheet1,Spreadsheet1,6,3,2,Screen 2,Zone1,timelimit_screen,749.6,,,,,0,1,0,,,1,,,t1,training
