Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: blockType,Manipulation: Spreadsheet
1,1716200981197,20/05/2024 10:29:41,1716211781197,3,20/05/2024 16:29:41,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1716200981552,20/05/2024 10:29:41,1716211781552,3,20/05/2024 16:29:41,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 1,zezya4,1,info,,14.100000001490116,0,14.100000001490116,14.100000001490116,0,14.100000001490116,1,14.100000001490116,0,0,,Slider,Slider_example1,3,object-269,instructions,,,
3,1716200981552,20/05/2024 10:29:41,1716211781552,3,20/05/2024 16:29:41,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 1,zezya4,1,info,,14.799999997019768,0,14.799999997019768,14.799999997019768,0,14.799999997019768,1,14.799999997019768,0,0,,Slider,Slider_example2,4,object-270,instructions,,,
4,1716200993054,20/05/2024 10:29:53,1716211793054,3,20/05/2024 16:29:53,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 1,zezya4,1,continue,,11513.5,11507.8,11513.5,11513.5,11507.8,11513.5,1,11513.5,0,0,,Click To Continue,Continue Button,2,object-268,instructions,,,
5,1716200993056,20/05/2024 10:29:53,1716211793056,3,20/05/2024 16:29:53,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 1,zezya4,1,response,100,8177.1,11507.8,11518.79999999702,8177.1,11507.8,11518.79999999702,1,8177.1,3341.6999999970194,0,,Slider,Slider_example1,3,object-269,instructions,,,
6,1716200993057,20/05/2024 10:29:53,1716211793057,3,20/05/2024 16:29:53,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 1,zezya4,1,response,,11519.10000000149,11507.8,11519.10000000149,11519.10000000149,11507.8,11519.10000000149,1,11519.10000000149,0,0,,Slider,Slider_example2,4,object-270,instructions,,,
7,1716200993062,20/05/2024 10:29:53,1716211793062,3,20/05/2024 16:29:53,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 2,99m75s,2,info,,16.200000000000728,0,16.200000000000728,16.200000000000728,0,16.200000000000728,1,16.200000000000728,0,0,,Slider,Slider,3,object-36,instructions,,,
8,1716200997078,20/05/2024 10:29:57,1716211797078,3,20/05/2024 16:29:57,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 2,99m75s,2,continue,,4032.800000001491,4030.100000000002,4032.800000001491,4032.800000001491,4030.100000000002,4032.800000001491,1,4032.800000001491,0,0,,Click To Continue,Continue Button,4,object-37,instructions,,,
9,1716200997079,20/05/2024 10:29:57,1716211797079,3,20/05/2024 16:29:57,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 2,99m75s,2,response,56,1365.9000000000015,4030.100000000002,4033.2000000000007,1365.9000000000015,4030.100000000002,4033.2000000000007,1,1365.9000000000015,2667.2999999999993,0,,Slider,Slider,3,object-36,instructions,,,
10,1716200998256,20/05/2024 10:29:58,1716211798256,3,20/05/2024 16:29:58,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,instructions,Screen 3,sottrm,3,continue,,1180.0999999999985,1165.7999999999993,1180.0999999999985,1180.0999999999985,1165.7999999999993,1180.0999999999985,1,1180.0999999999985,0,0,,Click To Continue,Continue Button,2,object-43,instructions,,,
11,1716200998266,20/05/2024 10:29:58,1716211798266,3,20/05/2024 16:29:58,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,task,Screen 2,ywtl6p,1,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,2,object-12,task,IFD_M-075-N.png,task,
12,1716201001000,20/05/2024 10:30:01,1716211801000,3,20/05/2024 16:30:01,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,task,Screen 2,ywtl6p,1,continue,,2758.9000000014894,2747.7999999999993,2758.9000000014894,2758.9000000014894,2747.7999999999993,2758.9000000014894,1,2758.9000000014894,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-075-N.png,task,
13,1716201001001,20/05/2024 10:30:01,1716211801001,3,20/05/2024 16:30:01,142922,38,task-drsy,,37743685,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,perceived_threat_ex2,7,ACpass,accepted,agreed,condagree,spreadsheet1,spreadsheet1,1,task,Screen 2,ywtl6p,1,response,54,1732.3999999999978,2747.7999999999993,2759.4000000014894,1732.3999999999978,2747.7999999999993,2759.4000000014894,1,1732.3999999999978,1027.0000000014916,0,,Slider,Slider,2,object-12,task,IFD_M-075-N.png,task,
