Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716201167676,20/05/2024 10:32:47,1716201170567,3,20/05/2024 13:32:50,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716201222187,20/05/2024 10:33:42,1716201224826,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,age,23
3,1716201222310,20/05/2024 10:33:42,1716201224827,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,age-quantised,7
4,1716201222310,20/05/2024 10:33:42,1716201224827,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender,גבר
5,1716201222310,20/05/2024 10:33:42,1716201224827,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender-quantised,1
6,1716201222310,20/05/2024 10:33:42,1716201224827,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender-text,
7,1716201222310,20/05/2024 10:33:42,1716201224827,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,ethnic-1,ישראלי/ת
8,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,ethnic-4,יהודי/ת
9,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,ethnic-text,
10,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,religiosity,4
11,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,religiosity-quantised,4
12,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,education,חלק מתואר ראשון באוניברסיטה
13,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,education-quantised,5
14,1716201222310,20/05/2024 10:33:42,1716201224828,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,language ,כן
15,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,language -quantised,1
16,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,vision,ראייה מתוקנת (משקפיים/עדשות)
17,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,vision-quantised,2
18,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,children,0
19,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,scale_of_SES,6
20,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,scale_of_SES-quantised,5
21,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,response-7,
22,1716201222310,20/05/2024 10:33:42,1716201224829,3,20/05/2024 13:33:44,142922,38,questionnaire-2ndw,,37743733,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,54262
1,1716204687380,20/05/2024 11:31:27,1716204687328,3,20/05/2024 14:31:27,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716204781002,20/05/2024 11:33:01,1716204780962,3,20/05/2024 14:33:00,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,age,23
3,1716204781114,20/05/2024 11:33:01,1716204780963,3,20/05/2024 14:33:00,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,age-quantised,7
4,1716204781114,20/05/2024 11:33:01,1716204780963,3,20/05/2024 14:33:00,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender,גבר
5,1716204781114,20/05/2024 11:33:01,1716204780963,3,20/05/2024 14:33:00,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender-quantised,1
6,1716204781114,20/05/2024 11:33:01,1716204780963,3,20/05/2024 14:33:00,142922,38,questionnaire-2ndw,,37745581,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,Demographics_ex1,10,ACpass,accepted,agreed,condagree,No,gender-text,
