Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716200571206,20/05/2024 10:22:51,1716200574044,3,20/05/2024 13:22:54,142922,38,questionnaire-4l7k,,37743511,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716200576238,20/05/2024 10:22:56,1716200579094,3,20/05/2024 13:22:59,142922,38,questionnaire-4l7k,,37743511,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716200576348,20/05/2024 10:22:56,1716200579095,3,20/05/2024 13:22:59,142922,38,questionnaire-4l7k,,37743511,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716200576348,20/05/2024 10:22:56,1716200579095,3,20/05/2024 13:22:59,142922,38,questionnaire-4l7k,,37743511,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716200576348,20/05/2024 10:22:56,1716200579095,3,20/05/2024 13:22:59,142922,38,questionnaire-4l7k,,37743511,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,5051
1,1716200765756,20/05/2024 10:26:05,1716200765665,3,20/05/2024 13:26:05,142922,38,questionnaire-4l7k,,37743608,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716204063918,20/05/2024 11:21:03,1716204063539,3,20/05/2024 14:21:03,142922,38,questionnaire-4l7k,,37743608,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716204064043,20/05/2024 11:21:04,1716204063540,3,20/05/2024 14:21:03,142922,38,questionnaire-4l7k,,37743608,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716204064043,20/05/2024 11:21:04,1716204063540,3,20/05/2024 14:21:03,142922,38,questionnaire-4l7k,,37743608,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716204064043,20/05/2024 11:21:04,1716204063540,3,20/05/2024 14:21:03,142922,38,questionnaire-4l7k,,37743608,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,3297875
1,1716202010809,20/05/2024 10:46:50,1716202011215,3,20/05/2024 13:46:51,142922,38,questionnaire-4l7k,,37744090,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716202024600,20/05/2024 10:47:04,1716202025076,3,20/05/2024 13:47:05,142922,38,questionnaire-4l7k,,37744090,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716202024741,20/05/2024 10:47:04,1716202025077,3,20/05/2024 13:47:05,142922,38,questionnaire-4l7k,,37744090,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716202024741,20/05/2024 10:47:04,1716202025077,3,20/05/2024 13:47:05,142922,38,questionnaire-4l7k,,37744090,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716202024741,20/05/2024 10:47:04,1716202025077,3,20/05/2024 13:47:05,142922,38,questionnaire-4l7k,,37744090,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,13862
1,1716202438455,20/05/2024 10:53:58,1716202438196,3,20/05/2024 13:53:58,142922,38,questionnaire-4l7k,,37744365,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716203027309,20/05/2024 11:03:47,1716203026777,3,20/05/2024 14:03:46,142922,38,questionnaire-4l7k,,37744365,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716203027704,20/05/2024 11:03:47,1716203026778,3,20/05/2024 14:03:46,142922,38,questionnaire-4l7k,,37744365,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716203027704,20/05/2024 11:03:47,1716203026779,3,20/05/2024 14:03:46,142922,38,questionnaire-4l7k,,37744365,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716203027704,20/05/2024 11:03:47,1716203026779,3,20/05/2024 14:03:46,142922,38,questionnaire-4l7k,,37744365,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,588583
1,1716203945032,20/05/2024 11:19:05,1716203980215,3,20/05/2024 14:19:40,142922,38,questionnaire-4l7k,,37745282,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716203963506,20/05/2024 11:19:23,1716203998740,3,20/05/2024 14:19:58,142922,38,questionnaire-4l7k,,37745282,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716203963630,20/05/2024 11:19:23,1716203998741,3,20/05/2024 14:19:58,142922,38,questionnaire-4l7k,,37745282,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716203963630,20/05/2024 11:19:23,1716203998741,3,20/05/2024 14:19:58,142922,38,questionnaire-4l7k,,37745282,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716203963630,20/05/2024 11:19:23,1716203998741,3,20/05/2024 14:19:58,142922,38,questionnaire-4l7k,,37745282,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,18526
