Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716201224034,20/05/2024 10:33:44,1716201226901,3,20/05/2024 13:33:46,142922,38,questionnaire-9j2e,,37743761,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716201225631,20/05/2024 10:33:45,1716201228546,3,20/05/2024 13:33:48,142922,38,questionnaire-9j2e,,37743761,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,1645
1,1716204782303,20/05/2024 11:33:02,1716204782218,3,20/05/2024 14:33:02,142922,38,questionnaire-9j2e,,37745624,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716204783535,20/05/2024 11:33:03,1716204783514,3,20/05/2024 14:33:03,142922,38,questionnaire-9j2e,,37745624,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,1296
1,1716202846799,20/05/2024 11:00:46,1716202847207,3,20/05/2024 14:00:47,142922,38,questionnaire-9j2e,,37744655,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716202853869,20/05/2024 11:00:53,1716202854332,3,20/05/2024 14:00:54,142922,38,questionnaire-9j2e,,37744655,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x703,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,7125
1,1716203859807,20/05/2024 11:17:39,1716203859528,3,20/05/2024 14:17:39,142922,38,questionnaire-9j2e,,37745239,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716203867426,20/05/2024 11:17:47,1716203867182,3,20/05/2024 14:17:47,142922,38,questionnaire-9j2e,,37745239,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1349x641,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,7654
1,1716204674256,20/05/2024 11:31:14,1716204709463,3,20/05/2024 14:31:49,142922,38,questionnaire-9j2e,,37745575,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716204677904,20/05/2024 11:31:17,1716204713145,3,20/05/2024 14:31:53,142922,38,questionnaire-9j2e,,37745575,BLIND,11118543,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x953,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,3682
1,1716206950154,20/05/2024 12:09:10,1716206970554,3,20/05/2024 15:09:30,142922,38,questionnaire-9j2e,,37746546,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716206982142,20/05/2024 12:09:42,1716207002618,3,20/05/2024 15:10:02,142922,38,questionnaire-9j2e,,37746546,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,debrief_ex2,3,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,32064
