Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716200577638,20/05/2024 10:22:57,1716200580489,3,20/05/2024 13:23:00,142922,38,questionnaire-hkve,,37743514,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716200580309,20/05/2024 10:23:00,1716200582898,3,20/05/2024 13:23:02,142922,38,questionnaire-hkve,,37743514,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,agreement_war-1,אני מעוניין/ת להמשיך בניסוי
3,1716200580431,20/05/2024 10:23:00,1716200582899,3,20/05/2024 13:23:02,142922,38,questionnaire-hkve,,37743514,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,2410
1,1716204065416,20/05/2024 11:21:05,1716204065335,3,20/05/2024 14:21:05,142922,38,questionnaire-hkve,,37745344,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716204067845,20/05/2024 11:21:07,1716204067804,3,20/05/2024 14:21:07,142922,38,questionnaire-hkve,,37745344,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,agreement_war-1,אני מעוניין/ת להמשיך בניסוי
3,1716204067963,20/05/2024 11:21:07,1716204067804,3,20/05/2024 14:21:07,142922,38,questionnaire-hkve,,37745344,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,2469
1,1716202025923,20/05/2024 10:47:05,1716202026350,3,20/05/2024 13:47:06,142922,38,questionnaire-hkve,,37744099,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716202035512,20/05/2024 10:47:15,1716202035984,3,20/05/2024 13:47:15,142922,38,questionnaire-hkve,,37744099,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,agreement_war-1,אני מעוניין/ת להמשיך בניסוי
3,1716202035614,20/05/2024 10:47:15,1716202035985,3,20/05/2024 13:47:15,142922,38,questionnaire-hkve,,37744099,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,9635
1,1716203029141,20/05/2024 11:03:49,1716203028871,3,20/05/2024 14:03:48,142922,38,questionnaire-hkve,,37744765,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,consent to war.Q,6,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
