Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716200561770,20/05/2024 10:22:41,1716200564602,3,20/05/2024 13:22:44,142922,38,questionnaire-jn3t,,37743507,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716200569573,20/05/2024 10:22:49,1716200572187,3,20/05/2024 13:22:52,142922,38,questionnaire-jn3t,,37743507,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,agreement-1,אני מסכימ.ה להשתתף בניסוי
3,1716200569705,20/05/2024 10:22:49,1716200572188,3,20/05/2024 13:22:52,142922,38,questionnaire-jn3t,,37743507,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,7586
1,1716200759490,20/05/2024 10:25:59,1716200759406,3,20/05/2024 13:25:59,142922,38,questionnaire-jn3t,,37743604,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716200764452,20/05/2024 10:26:04,1716200764419,3,20/05/2024 13:26:04,142922,38,questionnaire-jn3t,,37743604,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,agreement-1,אני מסכימ.ה להשתתף בניסוי
3,1716200764579,20/05/2024 10:26:04,1716200764420,3,20/05/2024 13:26:04,142922,38,questionnaire-jn3t,,37743604,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,5015
1,1716202002951,20/05/2024 10:46:42,1716202003375,3,20/05/2024 13:46:43,142922,38,questionnaire-jn3t,,37744082,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716202009476,20/05/2024 10:46:49,1716202009933,3,20/05/2024 13:46:49,142922,38,questionnaire-jn3t,,37744082,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,agreement-1,אני מסכימ.ה להשתתף בניסוי
3,1716202009602,20/05/2024 10:46:49,1716202009934,3,20/05/2024 13:46:49,142922,38,questionnaire-jn3t,,37744082,BLIND,11118325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x703,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,6559
1,1716202227922,20/05/2024 10:50:27,1716202227658,3,20/05/2024 13:50:27,142922,38,questionnaire-jn3t,,37744214,BLIND,11118354,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Consent_exp2_part1,21,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
