Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1716201120688,20/05/2024 10:32:00,1716211920688,3,20/05/2024 16:32:00,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,,,,,info,,BEGIN,,,,,
2,1716201122192,20/05/2024 10:32:02,1716211922192,3,20/05/2024 16:32:02,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 2,mfoqtm,2,,info,,50,,,Thermometer,1,object-4
3,1716201128832,20/05/2024 10:32:08,1716211928832,3,20/05/2024 16:32:08,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 3,mkyulh,3,,info,,50,,,jews,3,object-10
4,1716201128834,20/05/2024 10:32:08,1716211928834,3,20/05/2024 16:32:08,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 3,mkyulh,3,,info,,50,,,arabs,4,object-11
5,1716201141040,20/05/2024 10:32:21,1716211941040,3,20/05/2024 16:32:21,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 2,mfoqtm,2,"<p style=""text-align: center"">מהי עמדתך כלפי ערבים?<span style=""color: #FFFFFF"">ת</span></p>",response,value,50,,,Thermometer,1,object-4
6,1716201141041,20/05/2024 10:32:21,1716211941041,3,20/05/2024 16:32:21,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 3,mkyulh,3,,response,value,77,,,jews,3,object-10
7,1716201141041,20/05/2024 10:32:21,1716211941041,3,20/05/2024 16:32:21,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 3,mkyulh,3,,response,value,75,,,arabs,4,object-11
8,1716201141041,20/05/2024 10:32:21,1716211941041,3,20/05/2024 16:32:21,142922,38,questionnaire-qwx3,,37743719,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,,,,,info,,END,,,,,
1,1716204635904,20/05/2024 11:30:35,1716215435904,3,20/05/2024 17:30:35,142922,38,questionnaire-qwx3,,37745553,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,,,,,info,,BEGIN,,,,,
2,1716204637224,20/05/2024 11:30:37,1716215437224,3,20/05/2024 17:30:37,142922,38,questionnaire-qwx3,,37745553,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,2133x1021,,,0,thermometer_ex2,2,ACpass,accepted,agreed,condagree,Page 2,mfoqtm,2,,info,,50,,,Thermometer,1,object-4
