Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1716200582096,20/05/2024 10:23:02,1716200584934,3,20/05/2024 13:23:04,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1716200584755,20/05/2024 10:23:04,1716200587622,3,20/05/2024 13:23:07,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2647.5,,,,,0,1,0,,,,,,Instr1,
3,1716200588398,20/05/2024 10:23:08,1716200591264,3,20/05/2024 13:23:11,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_button,3632.5,,,,,0,1,0,,,,,,Instr1,
4,1716200598301,20/05/2024 10:23:18,1716200600896,3,20/05/2024 13:23:20,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,script,force_advance,9626.000000000002,,,,,0,1,0,,,,,,AC1,
5,1716200601800,20/05/2024 10:23:21,1716200604385,3,20/05/2024 13:23:24,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3477.89999999851,,,,,0,1,0,,,,,,Instr2,
6,1716200601919,20/05/2024 10:23:21,1716200604388,3,20/05/2024 13:23:24,142922,38,task-ba8o,,37743515,BLIND,11118127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1519x730,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,,,END TASK,,,,,19454,,,,,0,1,0,,,,,,,
1,1716204069224,20/05/2024 11:21:09,1716204069136,3,20/05/2024 14:21:09,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1716204103521,20/05/2024 11:21:43,1716204103495,3,20/05/2024 14:21:43,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,34332.19999998808,,,,,0,1,0,,,,,,Instr1,
3,1716204115690,20/05/2024 11:21:55,1716204115666,3,20/05/2024 14:21:55,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_button,12165.800000011921,,,,,0,1,0,,,,,,Instr1,
4,1716204118362,20/05/2024 11:21:58,1716204118315,3,20/05/2024 14:21:58,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,script,force_advance,2627.5,,,,,0,1,0,,,,,,AC1,
5,1716204133491,20/05/2024 11:22:13,1716204133467,3,20/05/2024 14:22:13,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,15143.300000011921,,,,,0,1,0,,,,,,Instr2,
6,1716204133605,20/05/2024 11:22:13,1716204133470,3,20/05/2024 14:22:13,142922,38,task-ba8o,,37745346,BLIND,11118165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x919,,,,AttentionCheck_ex2_english,12,ACpass,accepted,agreed,condagree,Spreadsheet1,,,END TASK,,,,,64334,,,,,0,1,0,,,,,,,
