Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-bgon,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Manipulation: Spreadsheet
1,1.71E+12,11/04/2024 9:44,1.71E+12,3,11/04/2024 15:44,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,
2,1.71E+12,11/04/2024 9:44,1.71E+12,3,11/04/2024 15:44,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 1,zezya4,1,info,86,16.2,0,16.2,16.2,0,16.2,1,16.2,0,0,,Slider,Slider_example1,3,object-269,instructions,,
3,1.71E+12,11/04/2024 9:44,1.71E+12,3,11/04/2024 15:44,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 1,zezya4,1,info,14,16.2,0,16.2,16.2,0,16.2,1,16.2,0,0,,Slider,Slider_example2,4,object-270,instructions,,
4,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 1,zezya4,1,continue,,1593.4,1581.9,1593.4,1593.4,1581.9,1593.4,1,1593.4,0,0,,Click To Continue,Continue Button,2,object-268,instructions,,
5,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 1,zezya4,1,response,,1594.1,1581.9,1594.1,1594.1,1581.9,1594.1,1,1594.1,0,0,,Slider,Slider_example1,3,object-269,instructions,,
6,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 1,zezya4,1,response,,1594.4,1581.9,1594.4,1594.4,1581.9,1594.4,1,1594.4,0,0,,Slider,Slider_example2,4,object-270,instructions,,
7,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 2,99m75s,2,info,50,16.4,0,16.4,16.4,0,16.4,1,16.4,0,0,,Slider,Slider,3,object-36,instructions,,
8,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 2,99m75s,2,continue,,1979.2,1964.9,1979.2,1979.2,1964.9,1979.2,1,1979.2,0,0,,Click To Continue,Continue Button,4,object-37,instructions,,
9,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 2,99m75s,2,response,70,1248.9,1964.9,1979.6,1248.9,1964.9,1979.6,1,1248.9,730.7,0,,Slider,Slider,3,object-36,instructions,,
10,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,instructions,Screen 3,sottrm,3,continue,,910.4,899.1,910.4,910.4,899.1,910.4,1,910.4,0,0,,Click To Continue,Continue Button,2,object-43,instructions,,
11,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,task,Screen 2,ywtl6p,1,info,50,16.4,0,16.4,16.4,0,16.4,1,16.4,0,0,,Slider,Slider,2,object-12,task,CFD_M-237-N.png,
12,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,task,Screen 2,ywtl6p,1,continue,,2756,2747.8,2756,2756,2747.8,2756,1,2756,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-237-N.png,
13,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,1,task,Screen 2,ywtl6p,1,response,29,1116,2747.8,2756.6,1116,2747.8,2756.6,1,1116,1640.6,0,,Slider,Slider,2,object-12,task,CFD_M-237-N.png,
14,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,2,task,Screen 2,ywtl6p,1,info,50,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Slider,Slider,2,object-12,task,IFD_M-028-N.png,
15,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,2,task,Screen 2,ywtl6p,1,continue,,2423.4,2414.8,2423.4,2423.4,2414.8,2423.4,1,2423.4,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-028-N.png,
16,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,2,task,Screen 2,ywtl6p,1,response,70,799.3,2414.8,2428.8,799.3,2414.8,2428.8,1,799.3,1629.5,0,,Slider,Slider,2,object-12,task,IFD_M-028-N.png,
17,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,3,task,Screen 2,ywtl6p,1,info,50,16.9,0,16.9,16.9,0,16.9,1,16.9,0,0,,Slider,Slider,2,object-12,task,CFD_M-227-N.png,
18,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,3,task,Screen 2,ywtl6p,1,continue,,2153,2147.7,2153,2153,2147.7,2153,1,2153,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-227-N.png,
19,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,3,task,Screen 2,ywtl6p,1,response,77,915.6,2147.7,2153.3,915.6,2147.7,2153.3,1,915.6,1237.7,0,,Slider,Slider,2,object-12,task,CFD_M-227-N.png,
20,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,4,task,Screen 2,ywtl6p,1,info,50,11.6,0,11.6,11.6,0,11.6,1,11.6,0,0,,Slider,Slider,2,object-12,task,IFD_M-017-N.png,
21,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,4,task,Screen 2,ywtl6p,1,continue,,2165,2148.3,2165,2165,2148.3,2165,1,2165,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-017-N.png,
22,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,4,task,Screen 2,ywtl6p,1,response,20,832.6,2148.3,2165,832.6,2148.3,2165,1,832.6,1332.4,0,,Slider,Slider,2,object-12,task,IFD_M-017-N.png,
23,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,5,task,Screen 2,ywtl6p,1,info,50,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Slider,Slider,2,object-12,task,IFD_M-035-N.png,
24,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,5,task,Screen 2,ywtl6p,1,continue,,2160.5,2148.1,2160.5,2160.5,2148.1,2160.5,1,2160.5,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-035-N.png,
25,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,5,task,Screen 2,ywtl6p,1,response,72,899.3,2148.1,2160.9,899.3,2148.1,2160.9,1,899.3,1261.6,0,,Slider,Slider,2,object-12,task,IFD_M-035-N.png,
26,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,6,task,Screen 2,ywtl6p,1,info,50,16.6,0,16.6,16.6,0,16.6,1,16.6,0,0,,Slider,Slider,2,object-12,task,IFD_M-036-N.png,
27,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,6,task,Screen 2,ywtl6p,1,continue,,2332.8,2331.3,2332.8,2332.8,2331.3,2332.8,1,2332.8,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-036-N.png,
28,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,6,task,Screen 2,ywtl6p,1,response,65,1215.7,2331.3,2333.4,1215.7,2331.3,2333.4,1,1215.7,1117.7,0,,Slider,Slider,2,object-12,task,IFD_M-036-N.png,
29,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,7,task,Screen 2,ywtl6p,1,info,50,8.9,0,8.9,8.9,0,8.9,1,8.9,0,0,,Slider,Slider,2,object-12,task,IFD_M-107-N.png,
